prompt_id,gamma,energy_best_drafter_freq_hz,energy_best_mj_per_token,fastest_drafter_freq_hz,fastest_latency_ms
climate_causes,1,306000000,4196.322,510000000,16444.596
climate_causes,2,612000000,3386.094,510000000,15390.274
climate_causes,4,510000000,2632.682,624750000,13578.627
climate_causes,8,510000000,2484.820,624750000,15079.131
dvfs_definition,1,510000000,4252.037,510000000,16876.132
dvfs_definition,2,306000000,3504.291,612000000,15238.367
dvfs_definition,4,624750000,2982.327,624750000,15347.590
dvfs_definition,8,624750000,2900.985,624750000,17344.532
edge_energy,1,510000000,4361.820,510000000,17004.859
edge_energy,2,408000000,3442.891,624750000,15276.540
edge_energy,4,510000000,2720.895,612000000,13942.064
edge_energy,8,510000000,2924.054,612000000,17713.958
explain_dsd,1,408000000,4322.028,612000000,17395.605
explain_dsd,2,408000000,3669.477,612000000,16650.014
explain_dsd,4,408000000,2952.098,612000000,15629.100
explain_dsd,8,510000000,3222.312,510000000,19527.945
gpu_frequency_energy,1,624750000,4000.693,624750000,15627.184
gpu_frequency_energy,2,612000000,3537.536,612000000,15472.420
gpu_frequency_energy,4,624750000,2781.746,612000000,14349.597
gpu_frequency_energy,8,612000000,2818.147,612000000,16809.803
latency_throughput,1,612000000,3880.788,612000000,9773.638
latency_throughput,2,306000000,2939.608,408000000,8132.678
latency_throughput,4,612000000,2052.793,612000000,6616.530
latency_throughput,8,624750000,1717.297,612000000,6590.925
matrix_multiplication,1,306000000,4421.452,306000000,17815.278
matrix_multiplication,2,306000000,3384.153,408000000,15673.210
matrix_multiplication,4,624750000,2895.091,624750000,14691.239
matrix_multiplication,8,510000000,2973.386,510000000,18165.669
memory_bandwidth,1,624750000,4241.797,510000000,16758.357
memory_bandwidth,2,624750000,3306.982,624750000,14930.639
memory_bandwidth,4,408000000,2657.706,510000000,14233.251
memory_bandwidth,8,624750000,2661.381,612000000,15800.064
palindrome_code,1,612000000,3787.179,612000000,15021.476
palindrome_code,2,612000000,2740.131,624750000,12133.877
palindrome_code,4,306000000,1989.391,612000000,10205.774
palindrome_code,8,408000000,1435.794,624750000,9039.605
sort_code,1,624750000,3910.781,624750000,15272.772
sort_code,2,408000000,3056.159,612000000,13563.874
sort_code,4,408000000,2415.743,624750000,12472.967
sort_code,8,612000000,2075.187,624750000,12502.964
