gamma,drafter_freq_hz,n,generated_tokens_mean,accept_rate_mean,wall_latency_ms_mean,wall_latency_ms_std,tokens_per_s_mean,system_energy_mj_mean,energy_per_token_mj_mean,energy_per_token_mj_std,drafter_energy_mj_mean,verifier_energy_mj_mean,system_energy_complete_rate
1,306000000,10,61.600,0.788142,17061.672,2649.400,3.635640,260705.047,4220.596,264.718,36146.161,224558.886,1.000
1,408000000,10,61.600,0.788142,16669.819,2403.177,3.711190,265572.264,4308.490,283.290,35846.868,229725.395,1.000
1,510000000,10,61.600,0.788142,16283.967,2367.512,3.799990,261233.026,4234.551,249.458,35220.984,226012.042,1.000
1,612000000,10,61.600,0.788142,16451.994,2530.962,3.770190,261930.917,4238.200,259.292,36075.610,225855.308,1.000
1,624750000,10,61.600,0.788142,16398.027,2545.948,3.783900,261932.928,4245.794,262.833,36016.809,225916.119,1.000
2,306000000,10,61.600,0.676108,15261.543,2736.327,4.096240,207311.223,3349.473,299.330,39832.624,167478.599,1.000
2,408000000,10,61.600,0.676108,14807.763,2763.875,4.232720,210653.665,3403.883,349.058,39145.398,171508.267,1.000
2,510000000,10,61.600,0.676108,14765.273,2593.150,4.229570,211122.736,3409.186,314.297,38913.340,172209.396,1.000
2,612000000,10,61.600,0.676108,14634.240,2504.094,4.261000,210171.724,3396.208,334.598,39206.175,170965.549,1.000
2,624750000,10,61.600,0.676108,14541.215,2507.827,4.289550,208716.036,3380.581,274.173,39465.547,169250.490,1.000
4,306000000,10,61.600,0.559512,14332.151,2960.768,4.409340,167200.108,2698.086,359.910,49797.529,117402.579,1.000
4,408000000,10,61.600,0.559512,13741.691,2728.750,4.586270,165910.868,2674.964,337.052,47671.986,118238.883,1.000
4,510000000,10,61.600,0.559512,13596.222,2807.338,4.652360,167015.303,2690.256,348.470,46892.760,120122.543,1.000
4,612000000,10,61.600,0.559512,13261.800,2816.051,4.781960,167475.687,2693.787,393.997,45300.304,122175.383,1.000
4,624750000,10,61.600,0.559512,13414.672,2803.944,4.715690,167240.423,2695.777,377.847,46336.009,120904.414,1.000
8,306000000,10,61.600,0.395535,16025.408,4539.685,4.125970,164260.630,2637.186,598.170,71082.472,93178.158,1.000
8,408000000,10,61.600,0.395535,15516.675,4400.764,4.264850,161409.143,2591.576,600.722,69259.260,92149.883,1.000
8,510000000,10,61.600,0.395535,15109.834,4161.729,4.354830,159542.093,2559.323,560.904,67691.621,91850.472,1.000
8,612000000,10,61.600,0.395535,15039.587,4265.173,4.396600,162341.126,2603.643,600.319,67329.620,95011.506,1.000
8,624750000,10,61.600,0.395535,15082.978,4344.747,4.396090,159894.897,2562.756,609.842,67718.933,92175.964,1.000
