experiment,gamma,drafter_freq_hz,verifier_freq_hz,n,generated_tokens_mean,accept_rate_mean,wall_latency_ms_mean,wall_latency_ms_std,tokens_per_s_mean,system_energy_mj_mean,energy_per_token_mj_mean,energy_per_token_mj_std,drafter_energy_mj_mean,verifier_energy_mj_mean,system_energy_complete_rate
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,1,306000000,816000000,10,61.6,0.7881423,17061.67213,2649.399647447625,3.63564,260705.0469943,4220.5955088,264.7179231365022,36146.1611864,224558.8858081,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,1,408000000,816000000,10,61.6,0.7881423,16669.81923,2403.177313415664,3.7111899999999998,265572.2636537,4308.4904559999995,283.2902976330212,35846.8682327,229725.3954208,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,1,510000000,816000000,10,61.6,0.7881423,16283.96664,2367.512156829113,3.79999,261233.0261281,4234.5512772,249.45829333056776,35220.9843846,226012.04174359998,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,1,612000000,816000000,10,61.6,0.7881423,16451.9936,2530.9618750434715,3.77019,261930.91718350002,4238.200138,259.2918595276392,36075.6096148,225855.3075688,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,1,624750000,816000000,10,61.6,0.7881423,16398.02694,2545.9484984040664,3.7839,261932.9275479,4245.7938533999995,262.8334112625522,36016.8088104,225916.1187374,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,2,306000000,816000000,10,61.6,0.6761079,15261.54277,2736.3268723370356,4.09624,207311.2228351,3349.4731478,299.3300575916494,39832.6243197,167478.5985154,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,2,408000000,816000000,10,61.6,0.6761079,14807.76283,2763.8746357584637,4.23272,210653.6646219,3403.8826533,349.058389433941,39145.39796,171508.2666616,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,2,510000000,816000000,10,61.6,0.6761079,14765.27283,2593.150041018204,4.22957,211122.7358089,3409.1859657,314.29683064830016,38913.3402797,172209.3955293,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,2,612000000,816000000,10,61.6,0.6761079,14634.2405,2504.093999252607,4.261,210171.7238228,3396.2084382000003,334.59777967376687,39206.1747607,170965.5490622,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,2,624750000,816000000,10,61.6,0.6761079,14541.21518,2507.8274805315637,4.28955,208716.0363359,3380.5807692,274.17338576745533,39465.5468027,169250.4895335,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,4,306000000,816000000,10,61.6,0.5595123,14332.150590000001,2960.7679579303162,4.40934,167200.1080936,2698.0858334,359.9098619926488,49797.5293464,117402.5787473,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,4,408000000,816000000,10,61.6,0.5595123,13741.69097,2728.7501830661954,4.58627,165910.8680513,2674.9635564,337.05182816984694,47671.9855327,118238.8825186,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,4,510000000,816000000,10,61.6,0.5595123,13596.22184,2807.3375596913347,4.65236,167015.3031517,2690.2557038,348.4702550224722,46892.7599224,120122.5432293,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,4,612000000,816000000,10,61.6,0.5595123,13261.79982,2816.050651333893,4.78196,167475.68732989999,2693.7873394,393.99684961044386,45300.3039065,122175.3834236,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,4,624750000,816000000,10,61.6,0.5595123,13414.67161,2803.9435148939406,4.71569,167240.4233403,2695.7774443,377.847114032055,46336.0092842,120904.4140561,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,8,306000000,816000000,10,61.6,0.3955346,16025.40807,4539.684731909614,4.12597,164260.62951210001,2637.186462,598.1695311128267,71082.4719343,93178.1575777,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,8,408000000,816000000,10,61.6,0.3955346,15516.67491,4400.764354533928,4.26485,161409.1433907,2591.5760021,600.7215542543591,69259.2604518,92149.882939,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,8,510000000,816000000,10,61.6,0.3955346,15109.83439,4161.729458270227,4.35483,159542.0930835,2559.322756,560.9043898392184,67691.6214504,91850.4716335,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,8,612000000,816000000,10,61.6,0.3955346,15039.58653,4265.173082928304,4.3966,162341.1261432,2603.6431916,600.3185043569277,67329.6197026,95011.5064405,1.0
phase1_drafter_main_qwen25_0p5b_to_3b_fv816,8,624750000,816000000,10,61.6,0.3955346,15082.97835,4344.746929582673,4.39609,159894.8968934,2562.7563887,609.8418514563124,67718.9330071,92175.9638861,1.0
