experiment,gamma,verifier_freq_hz,n,generated_tokens_mean,accept_rate_mean,wall_latency_ms_mean,wall_latency_ms_std,tokens_per_s_mean,system_energy_mj_mean,energy_per_token_mj_mean,energy_per_token_mj_std,drafter_energy_mj_mean,verifier_energy_mj_mean,system_energy_complete_rate
phase1_opt_125m_to_1p3b_fv1300p5mhz,1,1300500000,5,64.000,0.873203,9133.595,384.843,7.019760,140647.008,2197.610,136.894,13051.273,127595.735,1.000000
phase1_opt_125m_to_1p3b_fv1300p5mhz,2,1300500000,5,64.000,0.792602,7922.015,813.228,8.155440,115898.245,1810.910,170.828,14485.007,101413.238,1.000000
phase1_opt_125m_to_1p3b_fv1300p5mhz,4,1300500000,5,64.000,0.682329,6563.556,957.370,9.930320,83150.682,1299.229,213.753,15095.748,68054.934,1.000000
phase1_opt_125m_to_1p3b_fv1300p5mhz,8,1300500000,5,64.000,0.515900,6273.809,1482.138,10.648440,68151.282,1064.864,225.106,20171.799,47979.483,1.000000
phase1_opt_125m_to_1p3b_fv408mhz,1,408000000,5,64.000,0.873203,9976.246,1012.811,6.473820,148191.649,2315.495,180.734,15430.929,132760.720,1.000000
phase1_opt_125m_to_1p3b_fv408mhz,2,408000000,5,64.000,0.792602,7991.814,468.779,8.034380,109946.630,1717.916,89.598,13686.534,96260.097,1.000000
phase1_opt_125m_to_1p3b_fv408mhz,4,408000000,5,64.000,0.682329,6838.789,1180.846,9.589260,82394.067,1287.407,255.046,15487.369,66906.698,1.000000
phase1_opt_125m_to_1p3b_fv408mhz,8,408000000,5,64.000,0.515900,6429.425,1552.419,10.403740,66686.204,1041.972,246.962,19609.130,47077.074,1.000000
phase1_opt_125m_to_1p3b_fv816mhz,1,816000000,5,64.000,0.873203,9342.539,356.035,6.859880,130527.623,2039.494,163.952,13799.975,116727.648,1.000000
phase1_opt_125m_to_1p3b_fv816mhz,2,816000000,5,64.000,0.792602,7971.486,267.190,8.037380,101990.958,1593.609,70.168,14245.529,87745.429,1.000000
phase1_opt_125m_to_1p3b_fv816mhz,4,816000000,5,64.000,0.682329,6544.049,1174.327,10.038420,76078.498,1188.727,249.637,15190.917,60887.581,1.000000
phase1_opt_125m_to_1p3b_fv816mhz,8,816000000,5,64.000,0.515900,6390.108,1552.317,10.474940,61234.276,956.786,221.770,20275.226,40959.051,1.000000
