gamma,verifier_freq_mhz,drafter_freq_mhz,n_sessions,latency_ms_mean,tokens_per_s_mean,energy_per_token_mj_mean,accept_rate_mean,drafter_energy_mj_mean,verifier_energy_mj_mean,system_energy_mj_mean,fastest_flag,energy_best_flag,latency_constrained_best_flag,energy_saving_vs_high_percent,source_summary_csv
1,408,624.75,10,17106.437,3.62008,4484.171,0.788142,34164.32,242802.672,276966.992,FALSE,FALSE,FALSE,5.806,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
1,612,624.75,10,16355.471,3.79142,4189.182,0.788142,35404.05,223301.937,258705.987,FALSE,TRUE,TRUE,12.003,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
1,816,624.75,10,16106.858,3.83613,4210.161,0.788142,35168.055,223792.195,258960.25,FALSE,FALSE,FALSE,11.562,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
1,1300.5,624.75,10,16096.542,3.85885,4760.574,0.788142,34923.469,259242.88,294166.349,TRUE,FALSE,FALSE,0,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
2,408,624.75,10,15322.438,4.07264,3570.869,0.676108,38830.066,182092.5,220922.567,FALSE,FALSE,FALSE,5.169,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
2,612,624.75,10,14869.283,4.20012,3379.709,0.676108,39602.777,169542.527,209145.304,FALSE,FALSE,FALSE,10.245,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
2,816,624.75,10,14242.151,4.36103,3353.411,0.676108,38014.93,169235.921,207250.851,TRUE,TRUE,TRUE,10.944,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
2,1300.5,624.75,10,14535.348,4.29604,3765.5,0.676108,39428.539,193748.318,233176.857,FALSE,FALSE,FALSE,0,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
4,408,624.75,10,13894.606,4.53799,2802.549,0.559512,45823.969,128206.426,174030.395,FALSE,FALSE,FALSE,4.662,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
4,612,624.75,10,13439.493,4.6991,2661.239,0.559512,46099.693,119158.809,165258.502,FALSE,FALSE,FALSE,9.469,results/phase1/verifier_fd624p75/summary/phase1_summary_by_gamma_freq.csv
