experiment,gamma,verifier_freq_hz,n,generated_tokens_mean,accept_rate_mean,wall_latency_ms_mean,wall_latency_ms_std,tokens_per_s_mean,system_energy_mj_mean,energy_per_token_mj_mean,energy_per_token_mj_std,drafter_energy_mj_mean,verifier_energy_mj_mean,system_energy_complete_rate
phase1_qwen25_0p5b_to_7b_fv1300p5mhz,1,1300500000,5,63.400,0.763462,16478.974,296.803,3.849500,416545.168,6573.895,206.643,35849.572,380695.596,1.000000
phase1_qwen25_0p5b_to_7b_fv1300p5mhz,2,1300500000,5,63.400,0.705308,14439.871,1145.007,4.422600,303120.191,4786.269,328.383,39774.951,263345.239,1.000000
phase1_qwen25_0p5b_to_7b_fv1300p5mhz,4,1300500000,5,63.400,0.569632,13485.989,1781.035,4.791800,231108.246,3652.962,485.511,47408.726,183699.520,1.000000
phase1_qwen25_0p5b_to_7b_fv1300p5mhz,8,1300500000,5,63.400,0.429295,14801.884,3533.019,4.567120,199580.210,3159.104,792.565,67325.076,132255.134,1.000000
phase1_qwen25_0p5b_to_7b_fv408mhz,1,408000000,5,63.400,0.763462,24734.819,838.063,2.566340,594667.853,9385.190,320.397,35126.398,559541.456,1.000000
phase1_qwen25_0p5b_to_7b_fv408mhz,2,408000000,5,63.400,0.705308,20037.827,1274.644,3.179540,434910.017,6868.999,563.485,36998.400,397911.617,1.000000
phase1_qwen25_0p5b_to_7b_fv408mhz,4,408000000,5,63.400,0.569632,17854.519,2321.238,3.615840,331338.909,5239.230,798.666,44861.413,286477.496,1.000000
phase1_qwen25_0p5b_to_7b_fv408mhz,8,408000000,5,63.400,0.429295,18074.923,4722.656,3.782680,275916.734,4368.396,1203.824,63324.072,212592.662,1.000000
phase1_qwen25_0p5b_to_7b_fv816mhz,1,816000000,5,63.400,0.763462,18170.877,589.879,3.494120,376850.557,5947.395,194.453,37910.689,338939.869,1.000000
phase1_qwen25_0p5b_to_7b_fv816mhz,2,816000000,5,63.400,0.705308,15072.716,966.894,4.226240,275184.504,4345.846,340.251,38910.023,236274.481,1.000000
phase1_qwen25_0p5b_to_7b_fv816mhz,4,816000000,5,63.400,0.569632,14132.332,1851.630,4.571840,216090.858,3416.163,478.837,46844.142,169246.716,1.000000
phase1_qwen25_0p5b_to_7b_fv816mhz,8,816000000,5,63.400,0.429295,15440.193,3954.663,4.417740,189041.326,2992.945,808.480,67893.757,121147.569,1.000000
