experiment,gamma,verifier_freq_hz,n,generated_tokens_mean,accept_rate_mean,wall_latency_ms_mean,wall_latency_ms_std,tokens_per_s_mean,system_energy_mj_mean,energy_per_token_mj_mean,energy_per_token_mj_std,drafter_energy_mj_mean,verifier_energy_mj_mean,system_energy_complete_rate
phase1_fv1300p5mhz_qwen25_0p5b_to_3b,1,1300500000,10,61.600,0.788142,16304.039,2352.128,3.802790,291795.178,4724.088,234.072,36238.900,255556.278,1.000000
phase1_fv1300p5mhz_qwen25_0p5b_to_3b,2,1300500000,10,61.600,0.676108,14522.610,2361.103,4.294040,233436.644,3772.049,363.664,39315.166,194121.478,1.000000
phase1_fv1300p5mhz_qwen25_0p5b_to_3b,4,1300500000,10,61.600,0.559512,13371.148,2527.364,4.710620,178728.186,2880.001,322.888,47735.537,130992.649,1.000000
phase1_fv1300p5mhz_qwen25_0p5b_to_3b,8,1300500000,10,61.600,0.395535,15213.305,4048.038,4.338270,172734.024,2773.158,599.032,69429.628,103304.396,1.000000
phase1_fv408mhz_qwen25_0p5b_to_3b,1,408000000,10,61.600,0.788142,17344.095,2416.258,3.570110,279860.738,4532.408,282.848,36125.431,243735.308,1.000000
phase1_fv408mhz_qwen25_0p5b_to_3b,2,408000000,10,61.600,0.676108,15476.302,2544.281,4.031540,223339.853,3608.787,317.317,40301.520,183038.333,1.000000
phase1_fv408mhz_qwen25_0p5b_to_3b,4,408000000,10,61.600,0.559512,14076.544,2748.998,4.485630,177623.462,2861.189,373.105,47084.957,130538.505,1.000000
phase1_fv408mhz_qwen25_0p5b_to_3b,8,408000000,10,61.600,0.395535,15919.441,4257.085,4.153020,171070.859,2746.709,573.744,69352.505,101718.354,1.000000
phase1_fv816mhz_qwen25_0p5b_to_3b,1,816000000,10,61.600,0.788142,16460.913,2498.280,3.773200,258155.529,4183.237,259.750,37112.499,221043.030,1.000000
phase1_fv816mhz_qwen25_0p5b_to_3b,2,816000000,10,61.600,0.676108,14754.731,2451.921,4.231770,206490.006,3336.717,283.303,41087.517,165402.489,1.000000
phase1_fv816mhz_qwen25_0p5b_to_3b,4,816000000,10,61.600,0.559512,13255.583,2647.227,4.777110,161666.603,2602.638,336.320,46906.638,114759.965,1.000000
phase1_fv816mhz_qwen25_0p5b_to_3b,8,816000000,10,61.600,0.395535,15097.970,4008.112,4.373350,158993.464,2548.515,539.314,68965.834,90027.630,1.000000
