experiment,gamma,verifier_freq_hz,n,generated_tokens_mean,accept_rate_mean,wall_latency_ms_mean,wall_latency_ms_std,tokens_per_s_mean,system_energy_mj_mean,energy_per_token_mj_mean,energy_per_token_mj_std,drafter_energy_mj_mean,verifier_energy_mj_mean,system_energy_complete_rate
phase1_verifier_fd624p75_fv1300p5mhz_qwen25_0p5b_to_3b,1,1300500000,10,61.600,0.788142,16096.542,2446.488,3.858850,294166.349,4760.574,232.865,34923.469,259242.880,1.000000
phase1_verifier_fd624p75_fv1300p5mhz_qwen25_0p5b_to_3b,2,1300500000,10,61.600,0.676108,14535.348,2442.945,4.296040,233176.857,3765.500,338.105,39428.539,193748.318,1.000000
phase1_verifier_fd624p75_fv1300p5mhz_qwen25_0p5b_to_3b,4,1300500000,10,61.600,0.559512,13294.593,2536.530,4.740220,182261.020,2939.585,347.025,46349.985,135911.035,1.000000
phase1_verifier_fd624p75_fv1300p5mhz_qwen25_0p5b_to_3b,8,1300500000,10,61.600,0.395535,15055.948,3911.345,4.367470,172385.337,2772.464,559.435,68090.677,104294.660,1.000000
phase1_verifier_fd624p75_fv408mhz_qwen25_0p5b_to_3b,1,408000000,10,61.600,0.788142,17106.437,2401.304,3.620080,276966.992,4484.171,260.349,34164.320,242802.672,1.000000
phase1_verifier_fd624p75_fv408mhz_qwen25_0p5b_to_3b,2,408000000,10,61.600,0.676108,15322.438,2521.320,4.072640,220922.567,3570.869,288.219,38830.066,182092.500,1.000000
phase1_verifier_fd624p75_fv408mhz_qwen25_0p5b_to_3b,4,408000000,10,61.600,0.559512,13894.606,2662.970,4.537990,174030.395,2802.549,374.699,45823.969,128206.426,1.000000
phase1_verifier_fd624p75_fv408mhz_qwen25_0p5b_to_3b,8,408000000,10,61.600,0.395535,15746.389,4234.203,4.201860,169217.294,2713.182,587.187,67801.642,101415.651,1.000000
phase1_verifier_fd624p75_fv612mhz_qwen25_0p5b_to_3b,1,612000000,10,61.600,0.788142,16355.471,2384.375,3.791420,258705.987,4189.182,248.399,35404.050,223301.937,1.000000
phase1_verifier_fd624p75_fv612mhz_qwen25_0p5b_to_3b,2,612000000,10,61.600,0.676108,14869.283,2493.313,4.200120,209145.304,3379.709,295.344,39602.777,169542.527,1.000000
phase1_verifier_fd624p75_fv612mhz_qwen25_0p5b_to_3b,4,612000000,10,61.600,0.559512,13439.493,2636.543,4.699100,165258.502,2661.239,355.464,46099.693,119158.809,1.000000
phase1_verifier_fd624p75_fv612mhz_qwen25_0p5b_to_3b,8,612000000,10,61.600,0.395535,15169.775,3996.414,4.341130,159127.407,2552.485,531.979,67918.024,91209.383,1.000000
phase1_verifier_fd624p75_fv816mhz_qwen25_0p5b_to_3b,1,816000000,10,61.600,0.788142,16106.858,2111.253,3.836130,258960.250,4210.161,225.562,35168.055,223792.195,1.000000
phase1_verifier_fd624p75_fv816mhz_qwen25_0p5b_to_3b,2,816000000,10,61.600,0.676108,14242.151,2121.697,4.361030,207250.851,3353.411,240.206,38014.930,169235.921,1.000000
phase1_verifier_fd624p75_fv816mhz_qwen25_0p5b_to_3b,4,816000000,10,61.600,0.559512,13242.520,2498.199,4.758370,164676.873,2659.786,312.886,46208.221,118468.652,1.000000
phase1_verifier_fd624p75_fv816mhz_qwen25_0p5b_to_3b,8,816000000,10,61.600,0.395535,15108.984,3965.011,4.353930,159874.742,2563.986,528.743,68342.938,91531.804,1.000000
